FIPS ,State,County,Pop_2010
01001, Alabama,Autauga ,54571
01003, Alabama,Baldwin ,182265
01005, Alabama,Barbour ,27457
01007, Alabama,Bibb ,22915
01009, Alabama,Blount ,57322
01011, Alabama,Bullock ,10914
01013, Alabama,Butler ,20947
01015, Alabama,Calhoun ,118572
01017, Alabama,Chambers ,34215
01019, Alabama,Cherokee ,25989
01021, Alabama,Chilton ,43643
01023, Alabama,Choctaw ,13859
01025, Alabama,Clarke ,25833
01027, Alabama,Clay ,13932
01029, Alabama,Cleburne ,14972
01031, Alabama,Coffee ,49948
01033, Alabama,Colbert ,54428
01035, Alabama,Conecuh ,13228
01037, Alabama,Coosa ,11539
01039, Alabama,Covington ,37765
01041, Alabama,Crenshaw ,13906
01043, Alabama,Cullman ,80406
01045, Alabama,Dale ,50251
01047, Alabama,Dallas ,43820
01049, Alabama,DeKalb ,71109
01051, Alabama,Elmore ,79303
01053, Alabama,Escambia ,38319
01055, Alabama,Etowah ,104430
01057, Alabama,Fayette ,17241
01059, Alabama,Franklin ,31704
01061, Alabama,Geneva ,26790
01063, Alabama,Greene ,9045
01065, Alabama,Hale ,15760
01067, Alabama,Henry ,17302
01069, Alabama,Houston ,101547
01071, Alabama,Jackson ,53227
01073, Alabama,Jefferson ,658466
01075, Alabama,Lamar ,14564
01077, Alabama,Lauderdale ,92709
01079, Alabama,Lawrence ,34339
01081, Alabama,Lee ,140247
01083, Alabama,Limestone ,82782
01085, Alabama,Lowndes ,11299
01087, Alabama,Macon ,21452
01089, Alabama,Madison ,334811
01091, Alabama,Marengo ,21027
01093, Alabama,Marion ,30776
01095, Alabama,Marshall ,93019
01097, Alabama,Mobile ,412992
01099, Alabama,Monroe ,23068
01101, Alabama,Montgomery ,229363
01103, Alabama,Morgan ,119490
01105, Alabama,Perry ,10591
01107, Alabama,Pickens ,19746
01109, Alabama,Pike ,32899
01111, Alabama,Randolph ,22913
01113, Alabama,Russell ,52947
01115, Alabama,St. Clair ,83593
01117, Alabama,Shelby ,195085
01119, Alabama,Sumter ,13763
01121, Alabama,Talladega ,82291
01123, Alabama,Tallapoosa ,41616
01125, Alabama,Tuscaloosa ,194656
01127, Alabama,Walker ,67023
01129, Alabama,Washington ,17581
01131, Alabama,Wilcox ,11670
01133, Alabama,Winston ,24484
02013, Alaska,Aleutians East ,3141
02016, Alaska,Aleutians West ,5561
02020, Alaska,Anchorage Municipality,291826
02050, Alaska,Bethel ,17013
02060, Alaska,Bristol Bay ,997
02068, Alaska,Denali Borough,1826
02070, Alaska,Dillingham ,4847
02090, Alaska,Fairbanks North Star Borough,97581
02100, Alaska,Haines ,2508
02105, Alaska,Hoonah-Angoon Census Area,2150
02110, Alaska,Juneau ,31275
02122, Alaska,Kenai Peninsula ,55400
02130, Alaska,Ketchikan Gateway Borough,13477
02150, Alaska,Kodiak Island ,13592
02158, Alaska,Kusilvak ,7459
02164, Alaska,Lake and Peninsula ,1631
02170, Alaska,Matanuska-Susitna Borough,88995
02180, Alaska,Nome,9492
02185, Alaska,North Slope ,9430
02188, Alaska,Northwest Arctic ,7523
02195, Alaska,Petersburg ,3815
02198, Alaska,Prince of Wales-Hyder ,5559
02220, Alaska,Sitka ,8881
02230, Alaska,Skagway ,968
02240, Alaska,Southeast Fairbanks ,7029
02261, Alaska,Valdez-Cordova ,9636
02275, Alaska,Wrangell ,2369
02282, Alaska,Yakutat ,662
02290, Alaska,Yukon-Koyukuk ,5588
04001, Arizona,Apache ,71518
04003, Arizona,Cochise ,131346
04005, Arizona,Coconino ,134421
04007, Arizona,Gila ,53597
04009, Arizona,Graham ,37220
04011, Arizona,Greenlee ,8437
04012, Arizona,La Paz ,20489
04013, Arizona,Maricopa ,3817117
04015, Arizona,Mohave ,200186
04017, Arizona,Navajo ,107449
04019, Arizona,Pima ,980263
04021, Arizona,Pinal ,375770
04023, Arizona,Santa Cruz ,47420
04025, Arizona,Yavapai ,211033
04027, Arizona,Yuma ,195751
05001, Arkansas,Arkansas ,19019
05003, Arkansas,Ashley ,21853
05005, Arkansas,Baxter ,41513
05007, Arkansas,Benton ,221339
05009, Arkansas,Boone ,36903
05011, Arkansas,Bradley ,11508
05013, Arkansas,Calhoun ,5368
05015, Arkansas,Carroll ,27446
05017, Arkansas,Chicot ,11800
05019, Arkansas,Clark ,22995
