FIPS,State,County,LACCESS_POP10,LACCESS_CHILD10,GROCPTH09,SUPERCPTH09,CONVSPTH09,SPECSPTH09,FFRPTH09,FSRPTH09,PCT_FREE_LUNCH09,PC_WIC_REDEMP08,PC_SNAPBEN10,MILK_PRICE10,VEG_ACRESPTH07,RECFACPTH09,PCT_18YOUNGER10,PERPOV10,CHILDPOVRATE15,PERCHLDPOV10,METRO13
1001,AL,Autauga,18428.44,4822.500269,0.110834026,0.0184723,0.535697793,0.0369447,0.55417013,0.628059481,32.00674871,19.26266,16.69232132,0.9703046,18.08987692,0.073889351,26.77795899,0,18.8,0,1
1003,AL,Baldwin,35210.81,7916.131932,0.13377479,0.0334437,0.663300001,0.117052941,0.624282354,1.125937817,33.21605514,17.85356,14.13921122,1.01769,13.22475117,0.100331093,22.98740844,0,19.6,0,1
1005,AL,Barbour,5722.306,940.4193265,0.180786058,0,0.506200962,0.072314423,0.759301443,0.433886539,68.24583867,35.84205,27.55824259,1.136671,1.152862341,0.0361572,21.90698183,1,45.2,1,0
1007,AL,Bibb,1044.867,249.2047527,0.261540473,0.0435901,0.828211499,0,0.305130552,0.261540473,50.27855153,25.7193,20.12873664,0.9703046,2.896871379,0.0435901,22.69692341,0,29.3,1,1
1009,AL,Blount,1548.176,384.9116074,0.104637171,0.0174395,0.540625381,0.0348791,0.418548682,0.33135104,39.68109799,17.81256,19.15785679,0.9703046,10.40184922,0.0523186,24.60835281,0,22.2,0,1
1011,AL,Bullock,4089.984,607.0978682,0.182033312,0,0.182033312,0.091016656,0.364066624,0.182033312,92.11973122,,31.64895242,0.9703046,12.16964853,0,22.26498076,1,51.2,1,0
1013,AL,Butler,1307.82,264.8260771,0.143767671,0.0479226,1.150141372,0.0479226,0.814683472,0.910528586,69.69248965,40.04169,29.22852914,0.9703046,3.828850388,0,24.13710794,1,36,1,0
1015,AL,Calhoun,30901.15,6959.887106,0.211214653,0.0253458,0.743475579,0.0168972,0.802615682,0.566055271,48.38118839,24.50327,26.81071417,0.9703046,0.39583172,0.0591401,22.87723915,0,30.7,0,1
1017,AL,Chambers,6748.213,1531.676677,0.203583062,0.0290833,0.63983248,0.0290833,0.63983248,0.552582597,64.6073087,26.92083,28.08953188,0.8567245,1.119178122,0.0581666,22.51351746,0,34.4,1,0
1019,AL,Cherokee,79.41023,17.32604694,0.154714938,0.0386787,0.541502282,0.0386787,0.618859751,0.386787344,47.64920828,23.12612,25.11960188,0.8567245,4.500450045,0.0386787,21.41675324,0,30.2,0,0
1021,AL,Chilton,1456.678,333.4918078,0.160978751,0.022997,0.850887683,0.091987858,0.528930181,0.390948395,48.71860914,23.90553,27.08910936,0.9703046,9.584664537,0.068990893,25.11284742,0,28.1,0,1
1023,AL,Choctaw,2612.254,534.2438181,0.286204923,0,1.144819691,0.071551231,0.286204923,0.500858615,67.91125541,25.58854,28.15258436,1.136671,3.65785031,0,22.66397287,1,33.5,1,0
1025,AL,Clarke,5060.661,1360.621666,0.230432445,0.076810815,0.691297335,0.076810815,0.883324372,0.499270297,59.07995179,35.38964,28.92295384,1.136671,1.740051445,0.076810815,24.73193202,1,30.9,1,0
1027,AL,Clay,742.7717,164.052881,0.214193917,0,0.571183778,0.071397972,0.285591889,0.499785806,51.91852203,,17.36410183,0.9703046,,0,22.5667528,0,27.3,0,0
1029,AL,Cleburne,146.8635,31.67116727,0.201099343,0,0.737364258,0,0.469231801,0.268132457,43.87023765,20.60166,21.73501648,0.8567245,1.148726265,0,23.7176062,0,27.7,0,0
1031,AL,Coffee,11395.32,2727.296868,0.141585761,0.0202265,0.606796117,0,0.707928803,0.627022654,36.52968037,26.03889,14.63688903,1.136671,2.654979139,0.101132686,24.19316089,0,23.7,0,0
1033,AL,Colbert,9519.551,2271.976381,0.165362143,0.0183736,0.790063573,0.0551207,0.75331643,0.734942858,43.17937701,29.0999,20.4903726,0.9703046,1.119553647,0.073494286,22.10994341,0,26.9,0,1
1035,AL,Conecuh,3725.782,723.0978249,0.226005725,0,1.205363869,0.075335242,0.376676209,0.301340967,80.92144123,,38.83807076,1.136671,5.431143516,0,22.99667372,1,41,1,0
