,FIPS,State_x_x,County_x_x,GROC09,GROC14,GROCPTH09,GROCPTH14,SUPERC09,SUPERC14,SUPERCPTH09,SUPERCPTH14,CONVS09,CONVS14,CONVSPTH09,CONVSPTH14,SPECS09,SPECS14,SPECSPTH09,SPECSPTH14,WICS08,WICS12,WICSPTH08,WICSPTH12,State_y_x,County_y_x,FFR09,FFR14,FFRPTH09,FFRPTH14,State,County,FMRKT09,FMRKT16,FMRKTPTH09,FMRKTPTH16,VEG_ACRES07,VEG_ACRES12,VEG_ACRESPTH07,VEG_ACRESPTH12,ORCHARD_ACRES12,ORCHARD_ACRESPTH07,ORCHARD_ACRESPTH12,BERRY_ACRES07,BERRY_ACRES12,BERRY_ACRESPTH07,BERRY_ACRESPTH12,GHVEG_SQFT07,GHVEG_SQFT12,GHVEG_SQFTPTH07,GHVEG_SQFTPTH12,State_x_y,County_x_y,PCT_DIABETES_ADULTS08,PCT_DIABETES_ADULTS13,PCT_OBESE_ADULTS08,PCT_OBESE_ADULTS13,RECFAC09,RECFAC14,PCH_RECFAC_09_14,RECFACPTH09,RECFACPTH14,State_y_y,County_y_y,FOOD_TAX14,PCH_CONVSPTH_09_14 store,PTH_OBESE_08_13,PCH_GROCPTH_09_14,PCH_WICSPTH_08_12 store,PCH_SPECSPTH_09_14 store,PCH_SUPERCPTH_09_14 store,PCH_FFRPTH_09_14 store,PCH_FMRKTPTH_09_16 store,PCH_RECFACPTH_09_14
0,1001,AL,Autauga,6,4,0.110834026,0.072208683,1,1,0.0184723,0.0180522,29,30,0.535697793,0.541565123,2,2,0.0369447,0.0361043,6,5,0.1191564,0.0900674,AL,Autauga,30,36,0.55417013,0.649878148,AL,Autauga,2,1,0.039404208,0.01804533,948,1230,18.08987692,17.18169461,402,7.327545082,7.285908473,,5,,0.090620752,0,0,0,0,AL,Autauga,11.4,13,31.5,34.1,4,5,25,0.073889351,0.090260854,AL,Autauga,4,1.095268775,0.082539683,-34.84971568,-24.41246,-2.274573517,-2.274573517,17.27051178,-54.20456186,22.1567831
1,1003,AL,Baldwin,24,29,0.13377479,0.14491957,6,6,0.0334437,0.0299834,119,118,0.663300001,0.589672732,21,26,0.117052941,0.12992789,25,27,0.1418746,0.1415168,AL,Baldwin,112,132,0.624282354,0.659633903,AL,Baldwin,4,4,0.022237294,0.019178857,2280,1958,13.22475117,11.97504149,3361,25.13282754,17.65268178,79,93,0.458226027,0.48845564,0,62160,0,326.477447,AL,Baldwin,9.8,10.4,26.2,27.4,18,25,38.88888889,0.100331093,0.124930663,AL,Baldwin,4,-11.10014614,0.045801527,8.331001294,-0.2521258,10.99925256,-10.34675755,5.662750031,-13.75363799,24.51839229
2,1005,AL,Barbour,5,5,0.180786058,0.185963477,0,1,0,0.0371927,14,19,0.506200962,0.706661212,2,2,0.072314423,0.074385391,6,7,0.2010993,0.2573435,AL,Barbour,21,22,0.759301443,0.818239298,AL,Barbour,2,4,0.06725628,0.154053534,32,41,1.152862341,1.178246622,799,37.72021472,29.41934534,,42,,1.546448691,0,0,0,0,AL,Barbour,13.6,18.4,37.6,44.4,1,0,-100,0.0361572,0,AL,Barbour,4,39.60092238,0.180851064,2.863837542,27.96833,2.863837542,,7.762115521,129.0544964,-100
3,1007,AL,Bibb,6,5,0.261540473,0.222162979,1,1,0.0435901,0.0444326,19,15,0.828211499,0.666488936,0,1,0,0.0444326,6,5,0.2779193,0.2212683,AL,Bibb,7,5,0.305130552,0.222162979,AL,Bibb,1,1,0.046324177,0.044163759,65,14,2.896871379,2.870771133,13,,0.574154227,6,,0.267403512,,0,,0,,AL,Bibb,11.1,14.8,32.3,40.3,1,1,0,0.0435901,0.0444326,AL,Bibb,4,-19.5267227,0.247678019,-15.05598507,-20.38397,,1.932817915,-27.19084435,-4.663692974,1.932817915
4,1009,AL,Blount,6,6,0.104637171,0.103951905,1,1,0.0174395,0.0173253,31,27,0.540625381,0.467783572,2,0,0.0348791,0,10,6,0.1730283,0.1037596,AL,Blount,24,21,0.418548682,0.363831667,AL,Blount,1,1,0.017139429,0.017329821,585,677,10.40184922,10.12531155,176,3.431721195,3.046247577,28,38,0.497866287,0.657712545,,0,,0,AL,Blount,11.4,14.1,31.9,34.6,3,3,0,0.0523186,0.051976,AL,Blount,4,-13.47361997,0.084639498,-0.654897001,-40.0332,-100,-0.654897001,-13.07303488,1.110841536,-0.654897001
5,1011,AL,Bullock,2,2,0.182033312,0.185804534,0,0,0,0,2,3,0.182033312,0.2787068,1,0,0.091016656,0,2,2,0.1831334,0.190949,AL,Bullock,4,3,0.364066624,0.2787068,AL,Bullock,1,1,0.091033227,0.096506466,134,70,12.16964853,12.63435791,656,103.1695577,61.85178201,,0,,0,0,0,0,0,AL,Bullock,14.9,19.6,37.8,43,0,0,0,0,0,AL,Bullock,4,53.10758083,0.137566138,2.07172055,4.267708,-100,0,-23.44620959,6.012352828,0
6,1013,AL,Butler,3,3,0.143767671,0.147812377,1,1,0.0479226,0.0492708,24,21,1.150141372,1.034686638,1,0,0.0479226,0,6,4,0.2974567,0.1969764,AL,Butler,17,17,0.814683472,0.837603469,AL,Butler,2,2,0.100180325,0.100010001,80,105,3.828850388,3.92003136,497,11.67799368,24.35319483,,,,,0,0,0,0,AL,Butler,15.1,17.7,36.8,36.3,0,1,,0,0.0492708,AL,Butler,4,-10.03830804,-0.013586957,2.813362239,-33.77981,-100,2.813362239,2.813362239,-0.170017002,
7,1015,AL,Calhoun,25,27,0.211214653,0.232927292,3,3,0.0253458,0.0258808,88,74,0.743475579,0.638393319,2,1,0.0168972,0.0086269,22,19,0.1939659,0.1619834,AL,Calhoun,95,103,0.802615682,0.888574485,AL,Calhoun,2,2,0.017531403,0.017450332,46,26,0.39583172,0.392203673,91,0.481882094,0.775881179,16,12,0.137680598,0.102314002,0,,0,,AL,Calhoun,14.5,14.9,33.5,32.2,7,7,0,0.0591401,0.0603886,AL,Calhoun,4,-14.13392221,-0.03880597,10.27989234,-16.48874,-48.94449429,2.111011422,10.70983344,-0.462433798,2.111011422
8,1017,AL,Chambers,7,7,0.203583062,0.205423172,1,1,0.0290833,0.0293462,22,23,0.63983248,0.67496185,1,2,0.0290833,0.0586923,6,6,0.1740493,0.176139,AL,Chambers,22,26,0.63983248,0.763000352,AL,Chambers,1,1,0.029137529,0.029548208,39,51,1.119178122,1.144534116,150,2.783596866,4.402054292,0,5,0,0.146735143,,5280,,154.9523111,AL,Chambers,16.1,16.4,35.5,39.7,2,0,-100,0.0581666,0,AL,Chambers,4,5.490401135,0.118309859,0.903861956,1.200685,101.8077239,0.903861956,19.25001868,1.409449517,-100
9,1019,AL,Cherokee,4,5,0.154714938,0.192034413,1,1,0.0386787,0.0384069,14,18,0.541502282,0.691323885,1,1,0.0386787,0.0384069,5,6,0.2048089,0.230583,AL,Cherokee,16,15,0.618859751,0.576103238,AL,Cherokee,1,1,0.040903141,0.038872692,115,,4.500450045,4.419167659,34,1.408836536,1.306536525,5,,0.195671741,,0,0,0,0,AL,Cherokee,13.6,13.3,31.5,33.6,1,1,0,0.0386787,0.0384069,AL,Cherokee,4,27.66776949,0.066666667,24.12144256,12.58446,-0.70284595,-0.70284595,-6.908918078,-4.96404276,-0.70284595
